POSLOG: Task 2.1 started with visuals: False
POSLOG: X: -200.5, Y:-4.919981, Z: 52.11
POSLOG: X: -200.5905, Y:-4.917552, Z: 52.12762
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13322
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13321
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13319
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13319
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.1332
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13319
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13319
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13319
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13319
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
POSLOG: X: -200.6193, Y:-4.917552, Z: 52.13318
