POSLOG: Task 2.1 started with visuals: False
POSLOG: X: -200.5, Y:-4.919981, Z: 52.11
POSLOG: X: -200.2802, Y:-4.917552, Z: 52.14637
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.1531
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15311
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
POSLOG: X: -200.2395, Y:-4.917552, Z: 52.15313
